Station code,Pollutant_type,Annual_mean_value_ug_m³,year
DEBB111,PM2.5,11,2021
DENW405,PM2.5,10,2021
DEBB110,PM2.5,9.7,2021
DEUB030,PM2.5,7.7,2021
DEUB029,PM2.5,5.2,2021
DEUB005,PM2.5,9,2021
DEUB004,PM2.5,4.1,2021
DETH117,PM2.5,8.3,2021
DETH093,PM2.5,9.1,2021
DETH061,PM2.5,6.9,2021
DETH036,PM2.5,9.8,2021
DETH020,PM2.5,8.8,2021
DETH011,PM2.5,9.4,2021
DEST104,PM2.5,10,2021
DEST098,PM2.5,5.9,2021
DEST077,PM2.5,10,2021
DEST050,PM2.5,10,2021
DEST044,PM2.5,8,2021
DEST002,PM2.5,10,2021
DESN092,PM2.5,9.8,2021
DESN079,PM2.5,9.4,2021
DESN076,PM2.5,7.1,2021
DESN059,PM2.5,8.7,2021
DESH058,PM2.5,8.7,2021
DESH057,PM2.5,6.6,2021
DESH056,PM2.5,7.6,2021
DESH023,PM2.5,7.6,2021
DESH015,PM2.5,8.4,2021
DESH008,PM2.5,7.6,2021
DESL012,PM2.5,9.5,2021
DERP053,PM2.5,11,2021
DERP028,PM2.5,7,2021
DERP022,PM2.5,8.7,2021
DERP017,PM2.5,5.1,2021
DERP009,PM2.5,10,2021
DENW247,PM2.5,8.6,2021
DENW179,PM2.5,9,2021
DENW114,PM2.5,9.9,2021
DENW096,PM2.5,9,2021
DENW095,PM2.5,11,2021
DENW094,PM2.5,8.5,2021
DENW078,PM2.5,10,2021
DENW071,PM2.5,9.8,2021
DENW068,PM2.5,9.7,2021
DENW067,PM2.5,11,2021
DENW064,PM2.5,6,2021
DENW053,PM2.5,11,2021
DENW038,PM2.5,11,2021
DENW024,PM2.5,12,2021
DENW022,PM2.5,12,2021
DENW010,PM2.5,11,2021
DENW008,PM2.5,11,2021
DENW006,PM2.5,11,2021
DENW002,PM2.5,11,2021
DENI060,PM2.5,7.8,2021
DENI054,PM2.5,8.4,2021
DENI043,PM2.5,8.7,2021
DENI042,PM2.5,7.3,2021
DENI041,PM2.5,8.5,2021
