Station ID,Station Code,Station Name,State ID,Station Setting,Station Type
1,DEBB111,Elsterwerda,4,urban area,background
2,DENW405,Wesel-Obrighoven,10,rural near town,background
3,DEBB110,Dallgow-Döberitz,4,suburban area,background
4,DEUB030,Neuglobsow,17,rural regional,background
5,DEUB029,Schmücke,17,rural area,background
6,DEUB005,Waldhof,17,rural area,background
7,DEUB004,Schauinsland,17,rural regional,background
8,DETH117,Erfurt Bautzener Weg,16,suburban area,background
9,DETH093,Weimar Schwanseestr.,16,urban area,background
10,DETH061,Hummelshain,16,rural secluded,background
11,DETH036,Greiz Mollbergstr.,16,urban area,background
12,DETH020,Erfurt Krämpferstr.,16,urban area,background
13,DETH011,Altenburg Theaterplatz,16,urban area,background
14,DEST104,Domäne Bobbe,14,rural area,background
15,DEST098,Unterharz / Friedrichsbrunn,14,rural regional,background
16,DEST077,Magdeburg/West,14,urban area,background
17,DEST050,Halle/Nord,14,urban area,background
18,DEST044,Halberstadt,14,urban area,background
19,DEST002,Burg,14,suburban area,background
20,DESN092,Dresden-Winckelmannstr.,13,urban area,background
21,DESN079,Niesky,13,rural regional,background
22,DESN076,Collmberg,13,rural secluded,background
23,DESN059,Leipzig-West,13,suburban area,background
24,DESH058,Lauenburg-Murjahnstraße,15,urban area,background
25,DESH057,Kiel-Bremerskamp,15,urban area,background
26,DESH056,Eggebek,15,rural regional,background
27,DESH023,Lübeck-St. Jürgen,15,urban area,background
28,DESH015,Itzehoe,15,urban area,background
29,DESH008,Bornhöved,15,rural regional,background
30,DESL012,Saarbrücken-City,12,urban area,background
31,DERP053,Speyer-Nord,11,suburban area,background
32,DERP028,Westerwald-Neuhäusel,11,rural area,background
33,DERP022,Bad Kreuznach-Bosenheimer Straße,11,urban area,background
34,DERP017,Pfälzerwald-Hortenkopf,11,rural area,background
35,DERP009,Mainz-Zitadelle,11,urban area,background
36,DENW247,Essen-Schuir (LANUV),10,suburban area,background
37,DENW179,Schwerte,10,urban area,background
38,DENW114,Wuppertal-Langerfeld,10,urban area,background
39,DENW096,Mönchengladbach-Rheydt,10,suburban area,background
40,DENW095,Münster-Geist,10,urban area,background
41,DENW094,Aachen-Burtscheid,10,urban area,background
42,DENW078,Ratingen-Tiefenbroich,10,suburban area,background
43,DENW071,Düsseldorf-Lörick,10,urban area,background
44,DENW068,Soest-Ost,10,rural near town,background
45,DENW067,Bielefeld-Ost,10,urban area,background
46,DENW064,Simmerath (Eifel),10,rural regional,background
47,DENW053,Köln-Chorweiler,10,urban area,background
48,DENW038,Mülheim-Styrum,10,urban area,background
49,DENW024,Essen-Vogelheim,10,urban area,background
50,DENW022,Gelsenkirchen-Bismarck,10,suburban area,background
51,DENW010,Unna-Königsborn,10,suburban area,background
52,DENW008,Dortmund-Eving,10,urban area,background
53,DENW006,Lünen-Niederaden,10,suburban area,background
54,DENW002,Datteln-Hagem,10,suburban area,background
55,DENI060,Wendland,8,rural area,background
